States,Income,Preceding Period,Year Ago from period,NumBillionaireResidents,BillionairesTotalWorthInMill
Mississippi,44787,43556,43556,2,2726
Louisiana,51707,50878,50878,1,3265
New Mexico,53113,49158,49158,0,0
West Virginia,53706,51489,51489,0,0
Arkansas,54539,50683,50683,5,137263
Kentucky,55662,55543,55543,3,9304
Alabama,56200,50841,50841,0,0
Tennessee,56627,57076,57076,8,32974
Georgia,56628,56832,56832,12,54916
Florida,58368,55634,55634,58,196842
Oklahoma,59397,55420,55420,6,30291
Montana,60195,58724,58724,4,13753
Missouri,60597,62844,62844,6,21196
North Carolina,61159,54336,54336,3,15103
South Carolina,62028,58485,58485,1,1880
Michigan,64119,61544,61544,7,75017
South Dakota,64255,60540,60540,1,1633
Ohio,64663,62750,62750,6,13807
Wyoming,65134,63672,63672,5,56671
Idaho,65988,59792,59792,1,3537
Iowa,66054,69963,69963,1,5420
Maine,66546,59726,59726,1,1806
Indiana,66693,60977,60977,3,16202
Wisconsin,67355,63764,63764,8,50380
Texas,67444,60868,60868,60,291799
North Dakota,70031,67710,67710,0,0
Rhode Island,70151,63394,63394,1,1980
Pennsylvania,70582,65693,65693,12,32761
Arizona,70674,63411,63411,11,37702
Nevada,70906,62985,62985,11,68983
New York,71855,68493,68493,114,536474
Colorado,72499,74357,74357,8,36005
Nebraska,73071,68799,68799,3,89229
Kansas,73151,65096,65096,2,49023
Delaware,74194,66190,66190,0,0
Vermont,74305,71335,71335,0,0
Illinois,74399,71416,71416,17,61256
Oregon,74413,70418,70418,2,48490
California,78105,71766,71766,160,984059
Alaska,78394,69979,69979,0,0
Virginia,81313,78549,78549,7,49355
Minnesota,81426,73118,73118,2,4426
Washington,82454,81170,81170,12,458215
Utah,84523,78463,78463,4,5386
New Hampshire,86900,82820,82820,0,0
Connecticut,87291,74131,74131,14,53652
Massachusetts,87707,87909,87909,20,75319
New Jersey,87726,75520,75520,7,22367
Hawaii,88006,81559,81559,2,19226
District of Columbia,93111,87304,87304,1,2520
Maryland,95572,87785,87785,10,31774
